step	accuracy
0	0.9714285731315613
1	0.961904764175415
2	0.9523809552192688
3	0.9714285731315613
4	0.9428571462631226
5	0.9714285731315613
6	0.9714285731315613
7	0.961904764175415
8	0.9714285731315613
9	0.961904764175415
10	0.9714285731315613
11	0.9714285731315613
12	0.9523809552192688
13	0.9714285731315613
14	0.9523809552192688
15	0.961904764175415
16	0.9714285731315613
17	0.9714285731315613
18	0.9714285731315613
19	0.961904764175415
20	0.9714285731315613
21	0.9714285731315613
22	0.9714285731315613
23	0.9523809552192688
24	0.961904764175415
25	0.9333333373069763
26	0.9714285731315613
27	0.961904764175415
28	0.9714285731315613
29	0.961904764175415
